bjdtdb,flux,goodpoints,x,y
2458834.264343174,87.03311041993473,1.0,14.997252916028948,14.868273727985862
2458834.264366322,95.29809941048707,1.0,15.080005364265261,14.619772292929994
2458834.2643894674,127.6018897327232,1.0,14.920824825874117,15.269932280500122
2458834.2644126215,92.22251295986054,1.0,14.80092195995351,14.726877522873263
2458834.264435767,113.03279770960904,1.0,14.891043019289597,15.015782950058561
2458834.2644589157,89.82337865765423,1.0,15.040480624228454,14.61105418250926
2458834.264482066,86.41660338348542,1.0,15.038070894894538,14.909274478559663
2458834.264505215,89.84647960307743,1.0,14.727997952431615,14.608037130277975
2458834.2645283537,95.23244551729847,1.0,15.151878289053471,15.346835265679495
2458834.2645515143,90.81096805836242,1.0,15.079032853219175,15.170658163340775
2458834.2645746595,80.99063615280095,1.0,14.787114382585116,14.659469090670392
2458834.2645978117,90.76063807937601,1.0,14.93823254491997,15.203822025421957
2458834.264620961,86.16853374382688,1.0,14.98034114501235,14.60918786273307
2458834.264644105,96.57589617386579,1.0,14.992288448802107,14.759343198904688
2458834.2646672553,73.61405258027136,1.0,15.000003721736181,15.364898561563006
2458834.2646904006,113.28325406204092,1.0,15.151911194215316,15.022407950351422
2458834.264713552,98.01437757708034,1.0,14.646435643207155,14.94420887696689
2458834.2647367036,93.62439931048729,1.0,15.061543587683445,14.621502445983701
2458834.2647598484,89.73603068996498,1.0,14.645314716406602,14.592753156165394
2458834.264782992,106.28845944863704,1.0,15.046980361269497,15.066556453084313
2458834.264806142,89.13074202623413,1.0,15.00917325934428,14.711749057948595
2458834.264829295,94.82616022001176,1.0,15.04166393734048,14.56782597802
2458834.2648524423,86.44243888672922,1.0,15.129714391978276,14.573804331717707
2458834.2648755913,105.55309962961299,1.0,14.609714534131449,15.12841393859608
2458834.264898736,84.20683531513355,1.0,14.979658258705488,15.17163153086111
2458834.2649218864,103.95834326309597,1.0,15.097482795115678,15.380082702151931
2458834.264945036,111.50016162112823,1.0,14.75599151359755,14.933138134614353
2458834.26496818,90.30727738048334,1.0,15.120933038057554,15.327506342271349
2458834.264991331,79.82676243409287,1.0,15.347426246068142,15.138615267501635
2458834.2650144794,77.09951715430755,1.0,15.184886604238134,14.557911670209123
2458834.265037633,119.00321859333766,1.0,14.833277703769614,15.203447513450762
2458834.2650607773,87.0712556444827,1.0,15.008750455840236,14.772851367294543
2458834.265083922,86.76820880221607,1.0,14.678218740848589,15.078431502453729
2458834.265107076,94.77605961387872,1.0,15.436451937937662,15.454775743783038
2458834.2651302195,95.85411441944689,1.0,15.178313894018743,15.122103660709143
2458834.2651533755,87.80847526649706,1.0,15.197498733510653,15.285820916020004
2458834.265176522,79.27164173370257,1.0,14.942855664599051,14.723635830091997
2458834.2651996664,64.200096371641,1.0,14.60321698338014,15.291645057961052
2458834.265222819,88.70146088284076,1.0,15.082027515440352,15.449153628307638
2458834.265245967,73.18937158398069,1.0,14.917092577823347,14.569407637682023
2458834.265269112,97.68415726491537,1.0,14.97455499245551,15.003687277879273
2458834.265292264,83.40662357935102,1.0,14.999001589183248,14.638867210758214
2458834.265315412,101.28735552548557,1.0,14.9217313282265,14.573692462723397
2458834.265338563,103.38934863716386,1.0,14.964678589166123,15.021917055660953
2458834.2653617086,103.3204724611906,1.0,14.924702901967976,14.787949122162221
2458834.2653848594,92.65117132756079,1.0,14.903578094059558,15.096910697068022
2458834.2654080023,77.95070758440717,1.0,15.065826573130984,15.265065057902842
2458834.265431156,78.70528576192709,1.0,15.061352016818478,14.992692460517105
2458834.2654542984,127.13699761021493,1.0,15.058468467514835,15.04405514429775
2458834.2654774496,87.383064861205,1.0,15.173375466232141,14.999638294963326
2458834.265500601,138.0441522961863,1.0,14.961169786822115,15.170423297607606
2458834.2655237485,77.12765285396678,1.0,15.399921685608462,14.843850391070077
2458834.2655468993,77.08055286116686,1.0,15.329604885068257,15.32458217123801
2458834.2655700403,103.81227733479524,1.0,14.75104213224174,15.33812274635654
2458834.265593193,71.88250426541578,1.0,15.404041588755518,14.999825564518197
2458834.2656163443,78.81885566629187,1.0,14.913658966884594,15.098768547107941
2458834.2656394904,82.9217590596245,1.0,15.02138740760396,14.629870560552899
2458834.2656626455,80.03521544047132,1.0,15.393442751996915,15.287319597844135
2458834.265685785,91.82186932574581,1.0,15.247664358766748,15.41046595539878
2458834.265708938,85.63706461643237,1.0,15.40834125531699,15.040223978281578
2458834.2657320774,70.19056489383084,1.0,15.080299900766551,14.702833114096368
2458834.2657552315,83.00853678477695,1.0,14.926247912582355,15.39048860268305
2458834.2657783814,91.86757230295551,1.0,14.982754516517282,14.96265787998491
2458834.265801531,114.13351147669987,1.0,15.022269026193552,15.068391176181876
2458834.265840827,86.65372350914339,1.0,14.723634615887192,15.262887106787314
2458834.2658639736,66.50094111523518,1.0,15.18078076634023,14.649780261114486
2458834.265887118,100.83854943263194,1.0,15.293000487810616,15.049506054711578
2458834.2659102674,89.86181555571358,1.0,14.863700747774658,14.624136475364693
2458834.2659334172,90.8061872412896,1.0,15.388025955822691,15.24170731978689
2458834.2659565597,101.62058378268702,1.0,15.41022384509511,15.149958945209054
2458834.26597972,80.79194338542757,1.0,15.117934684432022,15.156255953395814
2458834.2660028622,71.88883008838934,1.0,14.654178020000465,14.630402212249486
2458834.266026009,94.98514705005864,1.0,15.388940108714298,15.018056855008389
2458834.2660491546,64.69458336664762,1.0,15.357889959181914,14.653809486254765
2458834.26607231,89.41572047649152,1.0,15.130077977656534,15.407921257015055
2458834.266095452,73.05900355809842,1.0,14.838513916290143,14.822957050157342
2458834.2661186005,75.99149487975595,1.0,15.388240158394865,14.620707442154465
2458834.266141754,78.74292875702686,1.0,14.8115590035585,14.606666685228085
2458834.2661649026,110.64648196860628,1.0,15.001201076553507,15.000031213436689
2458834.266188053,108.92289602665046,1.0,14.90741661285653,15.427619665817506
2458834.2662112,93.40263441744925,1.0,15.000292245899345,14.84741112596831
2458834.266234347,111.15432038932667,1.0,15.381665751880014,15.360420943959586
2458834.2662574933,92.74770905341839,1.0,15.166557925815034,14.568406790224667
2458834.2662806464,116.21588416285442,1.0,14.629899522569517,15.334183308308681
2458834.266303793,82.60327517455106,1.0,14.946261735045447,15.026974609121314
2458834.2663269434,91.04690247308793,1.0,14.725319192891156,14.618691426609246
2458834.2663500914,84.1787991817904,1.0,15.41515068467972,15.356705290105474
2458834.266373241,119.73796061408154,1.0,14.943530368759394,14.763364724319274
2458834.2663963847,77.0270095767543,1.0,15.10312104585121,15.224153170973178
2458834.2664195336,87.90022670205921,1.0,15.13967861446735,15.356729955954652
2458834.2664426863,67.19888431251597,1.0,15.119861296497199,14.92590692672216
2458834.2664658264,70.10902936601026,1.0,15.286175917881998,14.631198893856663
2458834.2664889754,68.78301067212857,1.0,15.000934205914625,14.691136523919383
2458834.266512129,79.2874414241867,1.0,15.074635026126828,15.124088357414504
2458834.2665352765,100.35279697669306,1.0,14.998396667792871,14.964717368587618
2458834.266558424,104.47340711618905,1.0,15.405989019443645,15.184849203650352
2458834.266581571,76.26330306817718,1.0,14.634144953534246,15.322417885620304
2458834.266604726,91.42572042892066,1.0,15.351240756422207,14.57000440639289
2458834.2666278705,110.08678988479555,1.0,15.006795041363748,15.034253859696943
2458834.2666510204,110.28181829828912,1.0,15.129768458390572,15.01481901445878
2458834.2666741707,135.01055859242877,1.0,14.758462070323613,15.252950517184935
2458834.2666973174,115.1135623674465,1.0,15.101621694322379,15.165190828367543
2458834.266720461,117.45938171175798,1.0,14.793890445691517,14.819549979738689
2458834.266743612,67.6105118599928,1.0,15.378305937543029,15.401630335887578
2458834.2667667577,88.60704881547964,1.0,14.928588509378052,15.083009318986903
2458834.2667899122,122.78281340225563,1.0,15.175847566640432,15.28468441126509
2458834.266813058,92.11444430879718,1.0,14.950881340694721,14.573590472693976
2458834.2668362097,70.78544191080891,1.0,15.042938559223003,15.318371900313082
2458834.266859359,74.35955486200761,1.0,15.075505551870776,14.56510962752295
2458834.266882505,82.55749409426457,1.0,15.04060267154145,14.574468022346476
2458834.266905657,91.05888948004214,1.0,15.311270857918704,14.805621399944219
2458834.266928805,105.00349235183558,1.0,15.169422827713895,15.306777683927383
2458834.2669519517,106.19433369033521,1.0,15.42691743697851,15.238621241160999
2458834.2669750983,105.88787587172493,1.0,15.201713921501629,14.754584810321116
2458834.2669982486,110.86443315728815,1.0,15.402128465784564,15.043470565825519
2458834.267021396,106.59102850097834,1.0,14.830906919759219,14.564605423360877
2458834.2670445424,89.9929433231708,1.0,14.62773586225741,15.131308033356273
2458834.267067692,120.11051128177293,1.0,14.933983957279409,15.175291271901287
2458834.267090842,70.83643165848494,1.0,15.147451113536555,14.657729551589792
2458834.267113987,115.37242930088749,1.0,15.28930272033329,14.88097197355749
2458834.26713714,87.69320781089456,1.0,15.215456842645391,14.951112398166966
2458834.2671602867,103.67113577739421,1.0,15.332822005236544,14.784209008241998
2458834.267183438,80.529262550259,1.0,15.161888490174945,15.236809411653184
2458834.2672065874,114.08696037840755,1.0,15.10513364928077,14.937163811578813
2458834.267229733,87.97531262087224,1.0,14.985185495675125,15.097171828540944
2458834.2672528797,81.05910405919127,1.0,14.972989294476385,14.950641721022961
2458834.2672760324,92.22327543926089,1.0,14.741850893842482,15.100073035003803
2458834.2672991785,116.35549384109228,1.0,14.973009497093873,15.22109509313281
2458834.2673384133,84.65957293075391,1.0,14.590317792084075,15.02917758453873
2458834.267361563,108.99936204135668,1.0,15.160538722555316,15.3493424196012
2458834.267384712,81.87278132717336,1.0,15.321478762049708,14.636479352971893
2458834.2674078625,92.19527804769169,1.0,14.830213618246336,15.276275695662559
